manager,player,team
Andy,Travis d'Arnaud,ATL
Andy,Sean Murphy,ATL
Andy,J.T. Realmuto,PHI
Andy,Paul Goldschmidt,STL
Andy,Anthony Rizzo,NYY
Andy,Mookie Betts,LAD
Andy,Justin Turner,BOS
Andy,Nolan Arenado,STL
Andy,Marcus Semien,TEX
Andy,Jo Adell,LAA
Andy,Adolis Garcia,TEX
Andy,Starling Marte,NYM
Andy,Luke Raley,TB
Andy,Bryan Reynolds,PIT
Andy,Kyle Schwarber,PHI
Andy,Christian Yelich,MIL
Andy,J.D. Martinez,LAD
Andy,Francisco Lindor,NYM
Andy,Jose Berrios,TOR
Andy,Nathan Eovaldi,TEX
Andy,Wilmer Flores,DET
Andy,Marco Gonzales,PIT
Andy,Andrew Heaney,TEX
Andy,Rich Hill,SD
Andy,Merrill Kelly,ARI
Andy,Clayton Kershaw,LAD
Andy,Michael Lorenzen,PHI
Andy,Lance Lynn,STL
Andy,Aaron Nola,PHI
Andy,Martin Perez,TEX
Andy,Quinn Priester,PIT
Andy,Max Scherzer,TEX
Andy,Drew Smyly,CHC
Clint,Jonah Heim,TEX
Clint,Ryan Mountcastle,BAL
Clint,Christian Walker,ARI
Clint,Tommy Edman,STL
Clint,Nico Hoerner,CHC
Clint,Brett Baty,NYM
Clint,Matt Chapman,TOR
Clint,J.D. Davis,SF
Clint,Royce Lewis,MIN
Clint,Bryson Stott,PHI
Clint,Trevor Story,BOS
Clint,Andrew Vaughn,CWS
Clint,Cody Bellinger,CHC
Clint,Josue De Paula,LAD
Clint,Elijah Green,WAS
Clint,Teoscar Hernandez,SEA
Clint,Lars Nootbaar,STL
Clint,Tyler O'Neill,BOS
Clint,Jorge Soler,MIA
Clint,Lane Thomas,WAS
Clint,Mike Trout,LAA
Clint,Cristhian Vaquero,WAS
Clint,Jordan Walker,STL
Clint,Byron Buxton,MIN
Clint,Edward Cabrera,MIA
Clint,Dylan Cease,CWS
Clint,Alexis Diaz,CIN
Clint,Daniel Espino,CLE
Clint,Nick Lodolo,CIN
Clint,Jesus Luzardo,MIA
Clint,Matt Manning,DET
Clint,Jacob Misiorowski,MIL
Clint,Mason Montgomery,TB
Clint,Freddy Peralta,MIL
Clint,Joe Ryan,MIN
Clint,Noah Schultz,CWS
Clint,Paul Skenes,PIT
Clint,Spencer Strider,ATL
Clint,Gavin Williams,CLE
David,Ethan Salas,SD
David,Will Smith,LAD
David,Vladimir Guerrero Jr.,TOR
David,Thairo Estrada,SF
David,Matt McLain,CIN
David,Alec Bohm,PHI
David,Orelvis Martinez,TOR
David,Maikel Garcia,KC
David,Wander Franco,TB
David,Jordan Lawlar,ARI
David,Matt Shaw,CHC
David,Sebastian Walcott,TEX
David,Eloy Jimenez,CWS
David,Yordan Alvarez,HOU
David,Jackson Chourio,MIL
David,Jaison Chourio,CLE
David,Chase DeLauter,CLE
David,Spencer Jones,NYY
David,Luis Matos,SF
David,Emmanuel Rodriguez,MIN
David,Jack Suwinski,PIT
David,Leody Taveras,TEX
David,Kyle Tucker,HOU
David,Junior Caminero,TB
David,Aaron Ashby,MIL
David,Emmanuel Clase,CLE
David,Zach Eflin,TB
David,Max Fried,ATL
David,Tyler Glasnow,LAD
David,Tink Hence,STL
David,Michael Kopech,CWS
David,Shane McClanahan,TB
David,Max Meyer,MIA
David,Reese Olson,DET
David,Ryan Pepiot,TB
David,Eury Perez,MIA
David,Ricky Tiedemann,TOR
David,Garrett Whitlock,BOS
Jake,Keibert Ruiz,WAS
Jake,Vinnie Pasquantino,KC
Jake,Spencer Torkelson,DET
Jake,Zack Gelof,OAK
Jake,Nolan Gorman,STL
Jake,Vaughn Grissom,ATL
Jake,Cam Collier,CIN
Jake,Ke'Bryan Hayes,PIT
Jake,Sterlin Thompson,COL
Jake,CJ Abrams,WAS
Jake,Luisangel Acuna,NYM
Jake,Brooks Lee,MIN
Jake,Jackson Merrill,SD
Jake,Carson Williams,TB
Jake,Dylan Crews,WAS
Jake,Pete Crow-Armstrong,CHC
Jake,Henry Davis,PIT
Jake,Yanquiel Fernandez,COL
Jake,Riley Greene,DET
Jake,Michael Harris II,ATL
Jake,Shohei Ohtani,LAD
Jake,Shohei Ohtani,LAD
Jake,Andrew Abbott,CIN
Jake,Logan Allen,CLE
Jake,Brayan Bello,BOS
Jake,Taj Bradley,TB
Jake,Edwin Diaz,NYM
Jake,Bryce Elder,ATL
Jake,Kyle Harrison,SF
Jake,Cade Horton,CHC
Jake,Triston McKenzie,CLE
Jake,Mason Miller,OAK
Jake,Ryne Nelson,ARI
Jake,Eduardo Rodriguez,ARI
Jake,Emmet Sheehan,LAD
Jake,Framber Valdez,HOU
Joe,Gabriel Moreno,ARI
Joe,Salvador Perez,KC
Joe,Matt Olson,ATL
Joe,Ha-Seong Kim,SD
Joe,Whit Merrifield,TOR
Joe,Brandon Drury,LAA
Joe,Austin Riley,ATL
Joe,Bobby Witt Jr.,KC
Joe,Jazz Chisholm Jr.,MIA
Joe,TJ Friedl,CIN
Joe,Ian Happ,CHC
Joe,Wyatt Langford,TEX
